,CBSACode,CBSATitle,geo_licode_n,geo_text,metro,mainmatch,matchtype,CSA,CSATitle,cbsa_nearest,cbsa_nearest_name,cbsa_nearest_distance
0,11260,"Anchorage, AK","Anchorage, Alaska Area","Anchorage, Alaska Area",1,1,Main Match,,,,,
1,21820,"Fairbanks, AK","Anchorage, Alaska Area","Anchorage, Alaska Area",1,0,Driving Distance,,,11260.0,"Anchorage, AK",201.42722
2,27940,"Juneau, AK","Anchorage, Alaska Area","Anchorage, Alaska Area",0,0,Driving Distance,,,11260.0,"Anchorage, AK",585.2838
3,13820,"Birmingham-Hoover, AL","Birmingham, Alabama Area","Birmingham, Alabama Area",1,1,Main Match,142.0,"Birmingham-Hoover-Talladega, AL",,,
4,18980,"Cullman, AL","Birmingham, Alabama Area","Birmingham, Alabama Area",0,0,CSA Match,142.0,"Birmingham-Hoover-Talladega, AL",,,
5,45180,"Talladega-Sylacauga, AL","Birmingham, Alabama Area","Birmingham, Alabama Area",0,0,CSA Match,142.0,"Birmingham-Hoover-Talladega, AL",,,
6,19460,"Decatur, AL","Decatur, Alabama Area","Decatur, Alabama Area",1,1,Main Match,290.0,"Huntsville-Decatur-Albertville, AL",,,
7,20020,"Dothan, AL","Dothan, Alabama Area","Dothan, Alabama Area",1,1,Main Match,222.0,"Dothan-Enterprise-Ozark, AL",,,
8,21460,"Enterprise, AL","Dothan, Alabama Area","Dothan, Alabama Area",0,0,CSA Match,222.0,"Dothan-Enterprise-Ozark, AL",,,
9,37120,"Ozark, AL","Dothan, Alabama Area","Dothan, Alabama Area",0,0,CSA Match,222.0,"Dothan-Enterprise-Ozark, AL",,,
10,45980,"Troy, AL","Dothan, Alabama Area","Dothan, Alabama Area",0,0,Driving Distance,,,20020.0,"Dothan, AL",50.539227
11,22520,"Florence-Muscle Shoals, AL","Florence, Alabama Area","Florence, Alabama Area",1,1,Main Match,,,,,
12,18420,"Corinth, MS","Florence, Alabama Area","Florence, Alabama Area",0,0,Driving Distance,,,22520.0,"Florence-Muscle Shoals, AL",60.527145
13,46180,"Tupelo, MS","Florence, Alabama Area","Florence, Alabama Area",0,0,Driving Distance,,,22520.0,"Florence-Muscle Shoals, AL",84.575455
14,23460,"Gadsden, AL","Gadsden, Alabama Area","Gadsden, Alabama Area",1,1,Main Match,,,,,
15,40660,"Rome, GA","Gadsden, Alabama Area","Gadsden, Alabama Area",1,0,Driving Distance,470.0,"Rome-Summerville, GA",23460.0,"Gadsden, AL",58.545593
16,26620,"Huntsville, AL","Huntsville, Alabama Area","Huntsville, Alabama Area",1,1,Main Match,290.0,"Huntsville-Decatur-Albertville, AL",,,
17,10700,"Albertville, AL","Huntsville, Alabama Area","Huntsville, Alabama Area",0,0,Largest MSA within CSA,290.0,"Huntsville-Decatur-Albertville, AL",,,
18,46100,"Tullahoma-Manchester, TN","Huntsville, Alabama Area","Huntsville, Alabama Area",0,0,Driving Distance,,,26620.0,"Huntsville, AL",67.138535
19,11500,"Anniston-Oxford-Jacksonville, AL","Anniston, Alabama Area","Anniston, Alabama Area",1,1,Main Match,,,,,
20,33660,"Mobile, AL","Mobile, Alabama Area","Mobile, Alabama Area",1,1,Main Match,380.0,"Mobile-Daphne-Fairhope, AL",,,
21,19300,"Daphne-Fairhope-Foley, AL","Mobile, Alabama Area","Mobile, Alabama Area",1,0,CSA Match,380.0,"Mobile-Daphne-Fairhope, AL",,,
22,33860,"Montgomery, AL","Montgomery, Alabama Area","Montgomery, Alabama Area",1,1,Main Match,,,,,
23,42820,"Selma, AL","Montgomery, Alabama Area","Montgomery, Alabama Area",0,0,Driving Distance,,,33860.0,"Montgomery, AL",60.97329
24,12220,"Auburn-Opelika, AL","Auburn, Alabama Area","Auburn, Alabama Area",1,1,Main Match,194.0,"Columbus-Auburn-Opelika, GA-AL",,,
25,46220,"Tuscaloosa, AL","Tuscaloosa, Alabama Area","Tuscaloosa, Alabama Area",1,1,Main Match,,,,,
26,18060,"Columbus, MS","Tuscaloosa, Alabama Area","Tuscaloosa, Alabama Area",0,0,Driving Distance,,,46220.0,"Tuscaloosa, AL",59.64915
27,32940,"Meridian, MS","Tuscaloosa, Alabama Area","Tuscaloosa, Alabama Area",0,0,Driving Distance,,,46220.0,"Tuscaloosa, AL",90.29393
28,44260,"Starkville, MS","Tuscaloosa, Alabama Area","Tuscaloosa, Alabama Area",0,0,Driving Distance,,,46220.0,"Tuscaloosa, AL",88.399376
29,22220,"Fayetteville-Springdale-Rogers, AR-MO","Fayetteville, Arkansas Area","Fayetteville, Arkansas Area",1,1,Main Match,,,,,
30,25460,"Harrison, AR","Fayetteville, Arkansas Area","Fayetteville, Arkansas Area",0,0,Driving Distance,,,22220.0,"Fayetteville-Springdale-Rogers, AR-MO",82.26333
31,34260,"Mountain Home, AR","Fayetteville, Arkansas Area","Fayetteville, Arkansas Area",0,0,Driving Distance,,,22220.0,"Fayetteville-Springdale-Rogers, AR-MO",124.1481
32,22900,"Fort Smith, AR-OK","Fort Smith, Arkansas Area","Fort Smith, Arkansas Area",1,1,Main Match,,,,,
33,32540,"McAlester, OK","Fort Smith, Arkansas Area","Fort Smith, Arkansas Area",0,0,Driving Distance,,,22900.0,"Fort Smith, AR-OK",87.390884
34,27860,"Jonesboro, AR","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",1,1,Main Match,308.0,"Jonesboro-Paragould, AR",,,
35,37500,"Paragould, AR","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",0,0,CSA Match,308.0,"Jonesboro-Paragould, AR",,,
36,12900,"Batesville, AR","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",0,0,Driving Distance,,,27860.0,"Jonesboro, AR",69.696724
37,14180,"Blytheville, AR","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",0,0,Driving Distance,,,27860.0,"Jonesboro, AR",63.52029
38,28380,"Kennett, MO","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",0,0,Driving Distance,,,27860.0,"Jonesboro, AR",68.00473
39,38740,"Poplar Bluff, MO","Jonesboro, Arkansas Area","Jonesboro, Arkansas Area",0,0,Driving Distance,,,27860.0,"Jonesboro, AR",89.84468
40,30780,"Little Rock-North Little Rock-Conway, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",1,1,Main Match,340.0,"Little Rock-North Little Rock, AR",,,
41,42620,"Searcy, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",0,0,Largest MSA within CSA,340.0,"Little Rock-North Little Rock, AR",,,
42,26300,"Hot Springs, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",1,0,Driving Distance,284.0,"Hot Springs-Malvern, AR",30780.0,"Little Rock-North Little Rock-Conway, AR",59.89832
43,11660,"Arkadelphia, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",0,0,Driving Distance,,,30780.0,"Little Rock-North Little Rock-Conway, AR",72.269196
44,31680,"Malvern, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",0,0,Driving Distance,284.0,"Hot Springs-Malvern, AR",30780.0,"Little Rock-North Little Rock-Conway, AR",47.816376
45,40780,"Russellville, AR","Little Rock, Arkansas Area","Little Rock, Arkansas Area",0,0,Driving Distance,,,30780.0,"Little Rock-North Little Rock-Conway, AR",79.64239
46,38220,"Pine Bluff, AR","Pine Bluff, Arkansas Area","Pine Bluff, Arkansas Area",1,1,Main Match,340.0,"Little Rock-North Little Rock, AR",,,
47,15780,"Camden, AR","Pine Bluff, Arkansas Area","Pine Bluff, Arkansas Area",0,0,Driving Distance,,,38220.0,"Pine Bluff, AR",71.763405
48,22380,"Flagstaff, AZ","Flagstaff, Arizona Area","Flagstaff, Arizona Area",1,1,Main Match,,,,,
49,43320,"Show Low, AZ","Flagstaff, Arizona Area","Flagstaff, Arizona Area",0,0,Driving Distance,,,22380.0,"Flagstaff, AZ",154.76741
50,38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix, Arizona Area","Phoenix, Arizona Area",1,1,Main Match,,,,,
51,39140,"Prescott, AZ","Phoenix, Arizona Area","Phoenix, Arizona Area",1,0,Driving Distance,,,38060.0,"Phoenix-Mesa-Scottsdale, AZ",132.62608
52,37740,"Payson, AZ","Phoenix, Arizona Area","Phoenix, Arizona Area",0,0,Driving Distance,,,38060.0,"Phoenix-Mesa-Scottsdale, AZ",129.80382
53,40940,"Safford, AZ","Phoenix, Arizona Area","Phoenix, Arizona Area",0,0,Driving Distance,,,38060.0,"Phoenix-Mesa-Scottsdale, AZ",157.92708
54,46060,"Tucson, AZ","Tucson, Arizona Area","Tucson, Arizona Area",1,1,Main Match,536.0,"Tucson-Nogales, AZ",,,
55,35700,"Nogales, AZ","Tucson, Arizona Area","Tucson, Arizona Area",0,0,CSA Match,536.0,"Tucson-Nogales, AZ",,,
56,43420,"Sierra Vista-Douglas, AZ","Tucson, Arizona Area","Tucson, Arizona Area",1,0,Driving Distance,,,46060.0,"Tucson, AZ",149.32047
57,49740,"Yuma, AZ","Yuma, Arizona Area","Yuma, Arizona Area",1,1,Main Match,,,,,
58,17020,"Chico, CA","Chico, California Area","Chico, California Area",1,1,Main Match,,,,,
59,23420,"Fresno, CA","Fresno, California Area","Fresno, California Area",1,1,Main Match,260.0,"Fresno-Madera, CA",,,
60,31460,"Madera, CA","Fresno, California Area","Fresno, California Area",1,0,CSA Match,260.0,"Fresno-Madera, CA",,,
61,32900,"Merced, CA","Merced, California Area","Merced, California Area",1,1,Main Match,382.0,"Modesto-Merced, CA",,,
62,33700,"Modesto, CA","Modesto, California Area","Modesto, California Area",1,1,Main Match,382.0,"Modesto-Merced, CA",,,
63,43760,"Sonora, CA","Modesto, California Area","Modesto, California Area",0,0,Driving Distance,,,33700.0,"Modesto, CA",94.46333
64,39820,"Redding, CA","Redding, California Area","Redding, California Area",1,1,Main Match,454.0,"Redding-Red Bluff, CA",,,
65,39780,"Red Bluff, CA","Redding, California Area","Redding, California Area",0,0,CSA Match,454.0,"Redding-Red Bluff, CA",,,
66,21700,"Eureka-Arcata-Fortuna, CA","Redding, California Area","Redding, California Area",0,0,Driving Distance,,,39820.0,"Redding, CA",185.40971
67,12540,"Bakersfield, CA","Bakersfield, California Area","Bakersfield, California Area",1,1,Main Match,,,,,
68,41500,"Salinas, CA","Salinas, California Area","Salinas, California Area",1,1,Main Match,,,,,
69,41740,"San Diego-Carlsbad, CA",Greater San Diego Area,Greater San Diego Area,1,1,Main Match,,,,,
70,20940,"El Centro, CA",Greater San Diego Area,Greater San Diego Area,1,0,Driving Distance,,,41740.0,"San Diego-Carlsbad, CA",102.81829
71,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo, California Area","San Luis Obispo, California Area",1,1,Main Match,,,,,
72,42200,"Santa Maria-Santa Barbara, CA","Santa Barbara, California Area","Santa Barbara, California Area",1,1,Main Match,,,,,
73,44700,"Stockton-Lodi, CA","Stockton, California Area","Stockton, California Area",1,1,Main Match,488.0,"San Jose-San Francisco-Oakland, CA",,,
74,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento, California Area","Sacramento, California Area",1,1,Main Match,472.0,"Sacramento-Roseville, CA",,,
75,46020,"Truckee-Grass Valley, CA","Sacramento, California Area","Sacramento, California Area",0,0,Largest MSA within CSA,472.0,"Sacramento-Roseville, CA",,,
76,41860,"San Francisco-Oakland-Hayward, CA",San Francisco Bay Area,San Francisco Bay Area,1,1,Main Match,488.0,"San Jose-San Francisco-Oakland, CA",,,
